_id,reviewText,PREDICTED_COMPATIBILITY,CORRECT
57894bc9819cb706b00a79fc,Coolpad Note 3 Lite Very useful,1,1
572917f2507c69054da8e8ad,"Android 6.0.1 Best,",0,1
572919e1507c69054da8ea7c,Fantastic It's really useful especially when you use it in different platforms simultaneously from web or desktop or smart phone and it syncs all them to each other,0,0
5729c28c507c690b8e0bd678,"Since the new update, Canadian Rogers galaxy note 5",1,1
572916ae507c69054da8e72b,"Works unrooted on Android 5.1, correct adb command is: pm grant com.nolanlawson.logcat android.permission.READ_LOGS",0,1
5729be48507c690b8e0bd238,"Cannot cache media/profile pictures It seems that it's impossible to properly cache media in the app, regardless of settings and database/cache size. Every time I scroll down my timeline, media that were previously loaded will load again. This reduces performance and makes scrolling janky. App is way less fluid than other clients. Nexus 5X, stock Android 6.0.1.",1,1
57290db6507c69054da8de55,"Almost perfect It does precisely what it should do. Reading left to right and vice versa. Opening different types of extentions. However it will not open files when out of memory, especially if it contains over 200 files. Still good though. Samsung galaxy young*",1,1
5729c20b507c690b8e0bd601,Key exchange issue persists Randomly fails to connect to SSH host due to key exchange issue. Works fine with JuiceSSH. Will give 5 stars when fixed. Thanks.,1,0
5729110c507c69054da8e1ee,Only half Installs Says it is intalled but only gives me the option to uninstall not open. Using samsung galaxy mega,1,1
57290ddc507c69054da8de85,Wont open files Keep tryinh to read comics on it and this DAM MESSAGE KEEPS COMING UP 'Oops can't open file may be due to low memory try closing acv and opening it after a while' I HAVE 2GIGS AND I CLOSED ACV FOR THREE WEEKS AND IT WOULDN'T OPEN FIX THIS ~SAMSUNG Galaxy S2,1,1
5729be8c507c690b8e0bd27b,RAM Aggressive This lock screen feels like half bake. It lacks stability and stutters alot. But it is still the best lock screen out there...,1,0
57291f9c507c69054da8f01f,Best Wallpaper I've seen There something for everyone taste.. Sometimes things that you didn't even like. But looks good... Nexus 6 user.,1,1
5729bd86507c690b8e0bd17e,Great editor Simple and easy to use. I love taking notes as text files that can be read on my computer instead of memos,1,0
5729bf75507c690b8e0bd373,no fingerprint support I have to enter a password when I want to unlock. if I want to use fingerprint I have to turn the phone on and off and it's a whole ordeal (Nexus 6p),1,1
57291c37507c69054da8eccc,"Crashes every time I start it I don't know what happened. When I first installed it, it worked great. Now however it crashes on every start even though it scrobbles all my plays. I tried uninstalling, restarting the phone+cleaning out remnants and then reinstalling and it still crashes. Please fix this, it used to be such a great app. Using Samsung Galaxy S5 Active",1,1
5729c2d1507c690b8e0bd6bd,Ultimate Control Hahaha &gt;:) Just one last thing. Hope you guys get a peek on this suggestion of mine... In the App Manager when you tap on the app? Can you put a Move to SD Card and Vice Versa so i dont need to go to my settings ?,1,0
5729c0b3507c690b8e0bd450,"Looks nice but no Cloud access All file managers should, by now, allow access to Google Drive, Dropbox, OneDrive, etc.",0,0
578937a4819cb7066ab3fb32,"Bye bye ads! Former Nexus (6) user who loves stock Android. Ads were taking up most of data... videos play automatically, half the page is an ad... I know I know, it's Google's business model. Although I have used other browsers that block ads on Nexus devices, they were all very laggy and unoptimized. Now using a Samsung Galaxy S7 Edge with the stock Samsung browser and the result is massive. Using the internet is enjoyable again. I've also been using ABP on my desktops for years... Thank you!",1,1
57291063507c69054da8e0f4,Samsung note 3 It's accurate all the time after required new calibration,1,1
57290e14507c69054da8ded0,"Needs updating This app works great on my older phone, but now that I've upgraded most of my files are no longer appearing correctly.",1,1
57291dbb507c69054da8ee61,"Favorite wallpaper app as I always used \\stock\"\" material wallpapers because I could never decide on ONE photo,  plus I didn't like the look of photos with \"\"my\"\" app layout. By allowing Muzei the ability to rotate my photos,  I don't have to decide on one. PLUS and BIGGEST,  is the blurry option that allows my apps to stand out against the photo and bring photo into focus with a double tap.\"",1,0
57291f47507c69054da8f000,Good wallpaper app with nice UI. Can't say much about the quality of the collection.,0,1
578937b0819cb7066ab3fb41,Doesn't seem to work well blocking ads for Samsung Internet app.,1,1
57894c10819cb706b00a7a49,Great app but... Issues on m8 lollipop,1,1
57290fcf507c69054da8e061,Most useful One of my favorite apps.,0,1
5729c114507c690b8e0bd4f0,Usually Excellent But lost ALL original file dates when moving photos from internal storage to SD card. Why don't file dates get carried over?,1,1
5789496e819cb706b00a776a,Used to be better Had to drop to 3 stars due to constant crashing. It's so frustrating. Please fix this i am a huge fan of your wallpaper collection.,0,1
5729c3c0507c690b8e0bd83a,I like this app! Very nice interface and I get to run the Linux command line!,0,1
5729c0e1507c690b8e0bd4a2,"Woo! Yo, it can't detect external sd card on KitKat. But I'll still give you 5 stars because this one's great.",1,1
5729c424507c690b8e0bd8d7,"Cool One of the must have apps, but only for people who know what they are doing",0,1
572913b0507c69054da8e4dc,"Difficult but fun I can never get past the first few levels, but it's good fun anyway.",0,1
5729bd8f507c690b8e0bd18c,Could be better Can you guys split the screen to view as you edit or create or at least have a viewer mode where you can view your progress.,0,1
572911ee507c69054da8e314,V.nice,0,1
57893e70819cb7066ab4028f,"Great game but... You get killed easily :-; but very addictive though ,or I'm just a noob .",0,1
572911eb507c69054da8e30c,Doesn't work anymore Having a hard time getting pictures to load and change on lollipop,1,1
5729c34e507c690b8e0bd755,"I don't know what happen (solved) Hi. I like your app, and i currently using my z5. I'm having a problem, i cannot tick the autostart option in Settings, but in my other device (galaxy tab s2 and xperia z1) i can autostart, can U help me solve this problem? All of my devices is on 5.1.1, thx :) (problem solved: do not move your apps to sd card)",1,1
57290f11507c69054da8dfb1,"Sad... Its the second time i download this app... my galaxy s2 and wont open i tap on logo pops menu only options are 'share, open, settings' if i go open just goes to my sdcard memory stuff..",1,1
57290fcf507c69054da8e05f,"Works well, discreet. In a world where \"Big Brother\" watches everything we do, DuckDuckGo is one of the \"key\" pieces to keeping a user's searches private... And with the integrated Tor support, this is completely achievable (requires the third-party Tor applications). Highly recommended, to all.",1,0
57893a4e819cb7066ab3fdac,"The Better Search Engine. All companies want to spy on us. Everytime we read an email, browse the web and even search for a website, or a question, someone is watching you. The companies are Google, Microsoft, Facebook and The NSA. They all want to know everything about you. Your daily routine, where you live, etc. DuckDuckGo isn't like that. They're the complete opposite. You should get your privacy and they believe that. Use DuckDuckGo and remain Anonymous.",1,0
57291601507c69054da8e67a,Nice app!,0,1
