_id,reviewText,PREDICTED_USAGE,CORRECT
57291a4f507c69054da8eaf7,Not all currency's shown Does have the Canadian dollar as a currency option. More stars for more currency options. Nice app other wise.,1,1
57291014507c69054da8e0a2,"Great App! But can you PLZ FIX THIS 1 THING I created custom notifications under \\KEY PHRASES\"\",  but every time I close,  and re-open the app,  it loads all the \"\"DELETED KEY PHRASES\"\",   and overwrites the current setup. Other than that,  it works perfectly for me. Please fix that one thing. Thx in advance _Ÿ‘ç\"",1,1
5729c09e507c690b8e0bd442,Screen sleep time problem The only problem I have ran into is when I try and use the Screen off memo on my galaxy note 5 the screen goes to sleep while I'm writing the memo. It is really annoying.,1,1
5729c1f6507c690b8e0bd5e0,Excellent and simple ssh client. New version even better now it has arrow keys! I have used this for years multiple times a week and would not change a thing.,1,1
5729bfc9507c690b8e0bd3bc,"Love it, but.. I used this lock screen for a very long time and loved it, but I had to stop using it because there was a bug with it that would disable/shut off my alarms immediately as they were starting. This, in turn made me late for work on several occasions. If that one bug would or could have been fixed... 5 stars, best lock screen ever.",1,1
57291156507c69054da8e247,Fantastic The visuals look exactly like earthbound. I definitely recommend that you try it out!,0,0
5729c331507c690b8e0bd724,"New SuperSU breaks root functionality Updated SuperSU and this now shows no info. Unticked the option (in OSMonitor) to use root, and it works, but I can't terminate a cpu-thug app as root anymore.",1,0
5729c19b507c690b8e0bd587,"Dark theme , copied URL Shortener required It will be helpful if we could shorten the copied links",0,1
57893e59819cb7066ab40273,Easy five stars.. hard game but possible All i can say is it deserves 5â˜† it has the rpg atmosphere to it.. and the adventure/survival type that is really great... the dificult thing is food and enemies.. first level is hard specially if you were unlucky with items and my recent achievement is that i reached level 2-9 where you will find the 2nd boss a ninja-looking-punk that throws shurikens and always hits you.. and that is where ive died..,1,0
5729c2dc507c690b8e0bd6d7,"Very good Best part about it is manages vibration intesnity ,colour calibration and sound enhancement etc but it would be more great if we get all of those for all kernals few kernals pop ups every settings but some kernals jus satisfies with vibration and colour calibrations...hope future updates will solve it",0,1
57291c76507c69054da8ed3c,Crashing but Scrobbling The app was working well until now as it now crashes every time I try to open it. It still scrobbles in the background when my music is playing but I do wish to access the app as well.,1,1
5729bf0d507c690b8e0bd30c,I got a solution to add security Enable developers option and enable skip lock screen and if you have password it will only display the password page AC display will pop up first then the password page,1,0
57894c51819cb706b00a7a82,Please put in a pattern lock or any security feature. I love this interface but it can't replace my stock lock.,1,0
5729c108507c690b8e0bd4d3,"Better than es Now that es has gotten a little bloated and slow IMO, this app is great. Whether doing a simple file transfer, or browsing through your documents, this app is a must have.",1,1
57290fca507c69054da8e057,No themes?? What? No themes?? I want a black theme like the pc browser!!! :(,0,0
5729c44d507c690b8e0bd91e,Great! The key combo shortcuts are clever.,0,1
5729c00f507c690b8e0bd3f5,Awesome. Best lock screen replacement,1,0
57893e4c819cb7066ab40260,Awesome game It is a simple retro game you can play on he go! I know I love it!,1,0
57290fac507c69054da8e022,No black theme Unfortunately it doesn't have a black theme,0,0
57291129507c69054da8e210,Best ever! My favorite game growing up. Glad to see that there is so many options and ways to adjust the background.,1,1
5729bf72507c690b8e0bd36d,not working automatically after screen off we need to replacement lock screen like glance plus,1,1
57290daa507c69054da8de42,OK app but... Would be great if there was a library display that showed the covers.,1,1
5789462b819cb706b00a73c9,No search feature on the app!!,1,1
572916a8507c69054da8e720,"Why no custom default location to save log file Like other log apps, this also does not have option to set a folder to save all log files.",1,1
572913d1507c69054da8e4f9,"Item degradation isn't too bad... To fix the problem of using all upgrade scrolls on one item, just to repair it, an idea could be to add random drops used to repair items, and make them a drop from common enemies. Please consider this, because there's nothing I hate more than not being able to upgrade my armour, all because of my +6 warhammer is broken. Aside from the this the game is very simplistic and easy to play, unlike other Android/IOS games. Keep up the good work Watabou and team",1,1
5729beef507c690b8e0bd2e8,Whenever an call comes on my device the phone doesnt wake up But when i disable acdisplay.. Guess what?? The phone wakes up on an incoming call,0,1
57291dcf507c69054da8ee77,I used to love it but.. Double tap doesnt work on s6 edge. Please fix it. Its useless otherwise.,0,1
57893e6d819cb7066ab4028c,Really amazing game Please i know you may be busy but make a 2.0 update!!!,0,0
57291d84507c69054da8ee18,"Just what I was looking for Beautiful, minimal app with fantastic extensive capabilities. Really want the opposite of the blur feature to be implemented though - lock screen should be blurred and the home screen should be clear.",1,1
57291074507c69054da8e121,Not a marine compass Marines use gyrocompass which is non magnetic. This one is magnetic. It gets affected by iron.,0,1
5729bd96507c690b8e0bd198,"Perfect Thought the only thing missing that makes this perfect is search and replace, then I found it. hehe",0,1
5729bfa5507c690b8e0bd3a4,Photos Where are the photos saved which I clicked with the shortcut on the screen,1,1
57893a51819cb7066ab3fdb5,Love,0,1
57291a68507c69054da8eb09,"No, just a star for you",0,1
572919e9507c69054da8ea89,A LIFE CHANGER !! I can tell that this is the most important app I have on my tablet ....and the new UI made it even cooler ...thank you,1,1
572913ee507c69054da8e512,"GNU GPL v3.0? You know I could just call this Pixel Dungeons and charge $5 for it, right? Or just change your donation info to be attached to my bank account? Wait, someone did that....REMIX Pixel Dungeon!",0,1
5729190c507c69054da8e9b8,"Tidy Simple, straight forward to use, nice dark theme.",1,1
57291274507c69054da8e3b2,Blah It's not working it used to work on other phones but not Kg tribute: (,0,1
57894816819cb706b00a7620,"Lags down my system In idea this is a awesome app, but i've tried it on several phones and always the second result, it someone causes noticeable lag",0,1
5729c2aa507c690b8e0bd69b,"Working great on 5.0 S6 Perfect. No ads or nags, bedside clock confirmed!",0,1
