_id,reviewText,PREDICTED_HARDWARE,CORRECT
572919c0507c69054da8ea54,Sophisticated computer flash card program,1,0
5729195e507c69054da8e9fa,"This app is really great about usefully and design, but sometimes I need to check my flash cards from my watch not just on the smartphone!",1,1
572919f9507c69054da8eaa0,"Excellent program. Very configurable with the ability to add ttf fonts (crucial for polytonic Greek) and other media to a package. Easy to configure the cards if you know a bit of html and css. I love being able to sync between my phone laptop. Very impressed, better than expected.",1,1
572919c7507c69054da8ea5c,The best The best flash cards app in all platforms thank you â˜º,1,0
5729c352507c690b8e0bd75d,"Find that killer app This app helped me realize the apps not just eating CPU, but allocating RAM for background resources. C",1,1
57291d4c507c69054da8ee00,"Pretty neat, except that shows aren't synchronised across devices I really like SeriesGuide and I recognise it has gotten better lately, but I still miss the show sync-ing across my two devices. It sucks that when I start \\following\"\" a slow on my tablet,  it doesn't get tracked by my phone. I've of course linked both to my Trackt account!\"",1,1
57895036819cb706e92397a0,Great little terminal A soft ui based toggle alternative to the hardware keys would be preferable as they are awkward to use other than that this is reliable and I enjoy using it. Thanks.,1,1
5789481d819cb706b00a7629,"Best Wallpaper app ever! I really love how costumizable this app is, also how ram and battery friendly it is. Thanks for this amazing app.",1,1
57291610507c69054da8e688,"BEST OPTION! I've used other battery-type apps to give me general information on my battery and nearly all of them seemed like the \battery\"\" was the last priority (they all promoted other apps and sucked up RAM for no reason). This simple,  yet thorough application is the most honest,  informative and ingenius battery info app I have ever seen. Thank you,  whoever you are,  for creating this.\"",1,1
57290f83507c69054da8dff5,"oops! used to love this app, now every comic i read comes up with oops! and something about being ou of memory. happens on both my phone and my tablet, both running different roms.",1,1
5729c329507c690b8e0bd718,Excellent Especially the temperature reading.,0,0
5729c3c9507c690b8e0bd849,"Good key mapping. Easy to use Tried a few terminal emus and I still think this one just works best when switching from desktop keyboard to phone keyboard. I can run htop and to quit just hold vol-dn + c. If I have to CD into some directory, vol-up + t for Tab. Of I want to run previous commands vol-up + w for up and vol-up + s for down. Also ssh, vim work well in here and can reliably work on remote servers from my phone in case of emergency. Hopefully I'll never have too though.",1,0
5789463e819cb706b00a73e7,"Ruim Nao atualizam o mesmo faz muito tempo, cheio de bugs e layout defasado",0,1
578945c5819cb706b00a733c,Give 5 stars without thinking! What will value more than almost 40 puzzle game in 1 and no ads!,0,1
572912de507c69054da8e40b,Nice It's cool app,0,1
5729beae507c690b8e0bd292,"THIS IS THE PERFECT ONE! Now it only misses one thing: a security. After all, it's a lock screen, so it is pretty ironic for a lock screen to not have a security. Also hopefully more customizable, like being able to change your wallpaper. Also the notification bar shouldn't be able to go down while in the lockscreen. Those are my suggestions.",0,1
5729173e507c69054da8e7cb,Best app,0,1
5789497a819cb706b00a7781,Good but crashes a lot.... Always says stopped working,0,1
5729bd7e507c690b8e0bd178,"Sadly unusable on the Pixel C bluetooth keyboard On the Pixel C keyboard, any character typed in combination with the Shift-key does not show up, like :\"!@#$%^&*()&lt;&gt;? This appears to be an easy glitch to fix :)",1,1
5729bdcb507c690b8e0bd1d1,"Good, bit buggy with keyboard edit though.",0,1
57291ace507c69054da8eb5f,"great, but lacking one thing the most suitable app for me. the only important thing that this app doesn't have is to transfer money between accounts",0,1
57291007507c69054da8e098,"background works fine, but just add an option to choose/remove the background, like viber. no option for it kills, cos the background image pisses me off.",0,1
5729198a507c69054da8ea21,Good but Is it possible to import decks from my sd rather than internal storage? if not it would be a really appreciated feature,1,1
