_id,reviewText,PREDICTED_MEMORY,CORRECT
57290f67507c69054da8dfea,"Nice, but has some problems. Works fairly well. Most comic book archives open and preloading makes sure you can go through them quickly. Has a good amount of options to tweak your experience. One point deduction because it has some bugs and improvement points that have been around forever: I get errors on some archives, and I can never see the full error because it's always cut off (\\Can not open archive. This generally happens because ...\"\" Because what??). The main menu always shows the logo in big,  and then the last two archives opened. There's so much more you can do with this space. When you zoom,  it seems to remember that zoom level for every *other* page,  rather than every page.\"",1,0
5729c449507c690b8e0bd914,Clean The app is clean. No requirements for unnecessary permissions. I used it to delete some large unwanted files using disk space. What a pal Sally!,1,0
57290d9c507c69054da8de2f,SD Card Doesn't see the memory card where comics are stored so useless to me.,1,1
57291b9f507c69054da8ec0e,"Great App The equivalent of owning ten other game apps, in a single compact space",1,1
5729c1e9507c690b8e0bd5bc,Perfect for making some free space If you uninstall this useless app,1,0
572919c5507c69054da8ea59,"The best Developers, can you please add a feature wherein instead of adding even the hand drawn images, we could simply draw and save that drawing as a flashcard. It would be really helpful for studying organic chemistry.",0,0
57291a13507c69054da8eab9,The Best Memory training at its finest.,1,0
5729c0f6507c690b8e0bd4bd,Annoying bar Top bar takes too much space. I can't disable it because I need it's functionalityâ€_,1,0
5789501d819cb706e923976f,Good but... There's a huge gap when I type commands like the space gap,1,0
5729124e507c69054da8e387,Works well with pictures from SD Memory card too Good LWP slideshow. Samsung Galaxy S4 Active with Android 4.4.2,1,1
57291ece507c69054da8efa3,"The best wallpapers available No bs, this app has QHD tasteful wallpapers that actually look great on any phone if any con it would be the load times on some wallpapers but beside that it's a must have app",0,1
57291a57507c69054da8eb05,Its great I like the app its nice smooth design is minimalistic has everything you need to track your expenses. But i am rating 4 cause the problem is you cant see your income at reports. Hope you guys add that feature,0,1
572912f6507c69054da8e424,Excellent app Really easy to use,0,1
57291a7d507c69054da8eb1b,"Nice tracking app It took me a while to configure it to my taste, but I finally figured out how to transfer fund from one account to another. You have to click the transfer icon next to the balance number in the transaction screen until it turns gray, which means it isn't an income nor expense. The trend graph is amazing.",0,1
5729c378507c690b8e0bd77e,Loved it!!,0,1
57291727507c69054da8e7b3,Nice and simple Less is more actually,0,1
