_id,reviewText,PREDICTED_PERFORMANCE,CORRECT
572911f1507c69054da8e31a,"One thing I only wish this app was able to switch wallpapers faster than an hour, like maybe every 30 seconds and every couple minutes.",1,0
572915d2507c69054da8e61f,"Good but Add alarm when battery charged 100%, then I'll rate 5 star",1,1
5729c037507c690b8e0bd40e,"Best lock screen, But I think it have heavy battery use! But I love it. Best ever.",1,0
5729bfdb507c690b8e0bd3cc,Battery Battery drains fast very fast its not battery race guys,1,0
578937d9819cb7066ab3fb70,Worthless Keeps saying not enough memory to open one single file. Others work just fine.,1,1
57291bc7507c69054da8ec50,Awesome Simon is true geek of programming. Visit his webpage. You will be motivated for writing small and powerful applications and mainly thinking different logic which are out of the box.,1,0
57291303507c69054da8e430,My favs I LOVE being greeted by a diverse collection of photographic memories every time I move from page to page on my home screens. Sometimes I just double trap my way thru a slideshow. This app is a non-negotiable for me. Update: new phone: galaxy note 4 does not seem to work with this app. Same picture on all screens which I can do without app :(,1,1
5729113f507c69054da8e22e,Smaaash! Oh this app is my all time favorite live wallpaper. Developer you did a fantastic job. I have one suggestion please make a scrolling hp battery meter. It would make my day.,1,0
57290de3507c69054da8de8e,"Does the job Seems there are complaints around CBR, but those seem to miss the fact that the CBR format requires the entire file to be unpacked in memory. Switching to a more sensible format, e.g. CBZ, does the job fine. All in all it does what I need it to, with few or no issues.",1,0
57290ded507c69054da8de9e,Always ran out of memory This app sucks. Dont download this one,1,1
57893b84819cb7066ab3ff22,"Amazing app Very cool, I just can't handle the battery drain. Not really the app's fault, though. Any Earthbound fan will love this app.",1,1
572917ab507c69054da8e853,"Good security, low battery use",1,0
57894bae819cb706b00a79d4,Nice app but ... I cannot deactivate it as it occupies large memory on ram ... How to deactivate it ?help plz,1,1
5729bf7c507c690b8e0bd379,Loved it The only thing is that lockscreen should have a bit more stability...and please remove a.c. display active message from notification panel,0,0
578937a9819cb7066ab3fb3a,"bleh blocker of unwanted content message, turned of power saving and optimization still no joy, will try next update, fresh reset days ago",1,0
57291bb3507c69054da8ec34,"Best. Game. Ever. No exaggeration. No ads, easy on the battery, everything is customisable and easy to navigate. Game appears slightly crude, but rest assured what IS there is magnificent. 39 customisable games, from easy and master-able to tricky enough to where there's several games modes I'm scared to try in hard mode. Best game I have ever seen! This is what game makers should strive for!!",1,1
572915df507c69054da8e641,Simple and lightweight Does what I wanted and that's just to show my remaining battery life in a percentage while being light on memory usage.,1,0
572917e1507c69054da8e892,Signal is best I make everyone I know install it,0,0
57291619507c69054da8e693,"Battery Bot Since Update, Some Info is not legible.",1,0
57291405507c69054da8e52d,Very good! Its only 5mb on dl and it doesnt eat up too much ram or battery,1,1
5729c33e507c690b8e0bd73a,Stopped working Works after fresh install or dalvik / cache wipe. Second launch nope no data. (0 processes nothing on the other tabs as well. ),1,0
57894f96819cb706e92396c2,"Excellent..... Shows CPU usage, Free memory and Battery _Ÿ”‹ information on the notification area, and detailed information on opening the app. Does exactly what it says, and does that nicely.",1,0
572915cf507c69054da8e61a,Battery review This app is the easiest to use and easy to setup. I have this on 5 different phones easy to use no matter who is the manufacturer +10 .... !!!!!,1,0
572910fa507c69054da8e1d3,Favourite background As an Earthbound _ŸŒè fan I really love this background. It doesn't drain your battery _Ÿ”‹ and it still looks awesome. (Giygas one tho _Ÿ˜¨),1,0
5729bf7e507c690b8e0bd37e,Great lock screen The lightest lock screen I had ever used .. Simple and best,0,1
5729c26f507c690b8e0bd645,Weather stopped working Please fix this bug of an otherwise perfect clock widget.,0,1
