_id,reviewText,PREDICTED_UI,CORRECT
5729c3d3507c690b8e0bd858,"Excellent emulator Simple and flawless shell emulation and access. Goes great with \\\"\"\"\"\"\"\"\"\"\"\"\"\"Hackers Keyboard/\"\"\"\"\"\"\"\"\"\"\"\"\"\"\"\" 5 stars. A+. Thank you.\"",1,0
5729be04507c690b8e0bd1f4,"Crashed when trying to open an image Okay, but...Crashed when trying to open an image..please help",0,0
57291e21507c69054da8eec9,The disability is really bad It could be so good but it's really hard to use and relies heavily on plugins. Ie it has no built in automatic image change and no multiple source selector.,0,0
572917d6507c69054da8e880,"Perfect Messenger Great app, feel secure using it and makes a great group chat with friends and even 1 on 1 convos. Needs more customizations like background color, but mostly to attract girls or people who like flashy messengers. That aside, i personally love the simplicity and security of it. Gif support is there, android/iphone emoji support and choice, and overall a fast and simple app. Thanks for the great work!",0,1
57291884507c69054da8e93f,Best of it's kind Stable and has plenty of options.,1,0
5729122a507c69054da8e357,"Not working Read the reviews, seemed promising. But after installing and fiddling with it for 15 min, couldn't't manage to have the pictures I wanted on three screens. Read the comments more attentively, and seems like that on Nexus 5, you need to use quite a few workarounds to make it work. Doesn't work unless you use album mode, which is not what I wanted to use it for. Same for screen lock.",1,1
5729be84507c690b8e0bd273,It seems that no one is listening to the feedbacks around here...?!? I'd very much like the option to add a custom screen locking/unlocking sound to the lockscreen. Thank you & keep up the good work!,1,1
57291078507c69054da8e128,"Common sense So, this compass works by detecting the phone's pitch and roll, only needing the user to adjust yaw (rotate horizontally). Thereby not having to place the phone truly flat. Makes all other compass apps useless. PERFECT",0,1
5729c457507c690b8e0bd925,OK PS. U can record ur screen by typing : screenrecord /the path u want/,1,0
57893e66819cb7066ab40286,"Not worth the frustration. This game is infuriatingly hard, to the point where it's not even fun anymore. The graphics are nice and gameplay is smooth, which is the only reason this is getting two stars from me. It needs a save or checkpoint system really badly. Oh, and if you play at night - which I usually do - the game is EVEN HARDER. The lowest I was able to get is 4, so you be the judge of that.",0,1
57291fbc507c69054da8f029,Best app for wallpapers The best thing about the app is the simplicity and elegance with which it provides you the wallpapers. Hands down the best designed wallpapers app period.,1,1
5729c0eb507c690b8e0bd4b5,"Nice app, just needs an option to view the size of /root and home.",1,0
57894c89819cb706b00a7abe,"Good, but lacks features It's very sleek but it's missing a lot of functionality such as the ability to see a call or being able to have a different wallpaper than your home screen.",1,1
57291759507c69054da8e7e6,No option to disable MMS when sending to many Uninstalling...,1,1
572910e6507c69054da8e1b0,"Great App Exactly what I was looking for. Decent amount of backgrounds with plenty of customizable options. Would love to see more backgrounds added, or an option to make our own.",1,1
57291dc4507c69054da8ee6a,Conflict with Marshmallow's Doze feature? I've noticed that the background hasn't been updating automatically lately. Is this a problem with Muzei and Doze?,1,1
57894838819cb706b00a7644,"Bad !!! It doesnt work well , do not change the photos daily , actually it only worked at first day and i have same photo for 3 days . Some times backgroubd goes all black",0,0
57291108507c69054da8e1e6,"Perfect It's exactly what I wanted. EarthBound was the second RPG I played as a kid, and this is an awesome Live Wallpaper. If I have any gripes, it's that the enemies seem to be in random order in the list, Pokey's not visible in Giygas' first form, and there's no Diamond Dog. Otherwise, it's perfect. :)",0,0
5729c282507c690b8e0bd663,Wow! This is what widgets should do!,1,1
57894841819cb706b00a7656,Please fix on marshmallow The app cannot able to change the lock screen wall paper :'(,1,1
57894bed819cb706b00a7a26,"Not working LG v10 Unfortunately the process com. Android. Settings has stopped, that is the message I'm always getting everytime I try to select a widget please any solution? Update: now it works but it is too slow to activate, I don't like waiting for a look screen it makes no sense",1,0
5729bf10507c690b8e0bd30f,Widget Says Settings has stopped each time I try to set a widget. Why? Would like temperature/weather when I tap on.,1,1
5729bf1e507c690b8e0bd31d,Attention! ! ! There is no unintall button!,1,1
5729bffd507c690b8e0bd3e4,Amazing!!! Please add screen lock feature and home blocking option.,1,0
5729c0a3507c690b8e0bd446,the best lock screen apps ever ... keep it up !!!,1,0
572912a7507c69054da8e3dc,... Won't make a single pic for each screen like it's supposed to...,1,1
57291dc3507c69054da8ee66,Four thumbs up Can developers add downloading feature to the plugin. Some of these wallpapers are really awesome to keep,1,0
5729c0cc507c690b8e0bd489,Having problems! EDIT: Any way around having to disable root to view the sdcard?,1,1
572910bd507c69054da8e15e,Fix issue It doesn't display on lolipop,1,0
5729bfec507c690b8e0bd3d7,best looking lock screen app on play store It looks so beautiful that I can't explain but it miss the one thing that is being a lock screen. Sadly it doesn't have a lock.....,1,1
5729118a507c69054da8e286,I loved it As a photographer I use Google Photos to backup my photos. It's great to use my phones backgrounds as a picture frame.,1,1
5729c19b507c690b8e0bd588,"Doesn't work. Samsung Galaxy Tab 8.9 with the corrupted clipboard problem. 4.0.4. Clip Stack says it has deleted my clipboard, and that it's empty, but I still can't cut and paste between applications. Fail.",1,1
5789463d819cb706b00a73e2,please let me disable now scrobbling notification,1,1
57291435507c69054da8e54f,"Amazing game I have had this game on three different devices and played it for almost two years. I have beaten it with the Warrior, the Mage, and the Rogue. Working on the Huntress currently. Yes, the game is hard but once you have a good strategy you will have farther runs each time. Wait until you are starving to eat your rations and your health is low, or medium if you're not that brave. Stretching your rations is a must. If you have no ration and say 5 hp potions use hp potions until you find food trust me you will find it. Identify potions and scrolls early on as its important to know what you have. Use all potions that are unidentified at the end of a level, and all scrolls that are unidentified at the beginning of the next lvl. Different strategies work for different classes so make adjustments to how you play just like any rpg. Please download this game and don't give up! You will get past the Goo I promise. Stand in water while fighting to wash away his caustic ooze and use an earth root for added protection. Good luck!!",1,0
57291a82507c69054da8eb23,"You could've created a widget feature, it will be very helpful",1,1
