_id,app,appVersion,reviewText,author,date,ratingStars,ArDoc classification,classification,class1,class2,class3,copied to 30each,class4,class5
578945a6819cb706b00a7328,2048,2.06,Fundamental flaw Sometimes drops a 4 instead of a 2. I suspect the error is in the source code because another ad free version does the same. A bothersome glitch.,Larry H,15/01/16,4,OTHER,OTHER,LICENSING,APP USABILITY,ERROR,,,
578945a5819cb706b00a7327,2048,2.06,"Too easy and too slow Being able to undo just one move should be enough to correct false moves, 50 is ridiculous and makes the game annoyingly slow. 3 moves and everybody is happy, yes? Oh and the occasional dropping of 4 has ruined many a game. The undo button took me from a high score of 73000ish to 290552 in one game, finally defeated by a dropped 4.",JÃ_hann G. Ã“lafsson,18/01/16,2,OTHER,USAGE,APP USABILITY,PERFORMANCE,UI,y,ERROR,
578945a5819cb706b00a7326,2048,2.06,"Slow Since latest update, it's moving very slow. The animations are fine, but the time it takes from my finger movement to display is too slow. I was already moving ahead of the animations before, but now I don't even want to play due to the latency.",Zachary Burris,15/02/16,4,OTHER,RESSOURCES,PERFORMANCE,PERFORMANCE,UI,y,ERROR,
578945a5819cb706b00a7325,2048,2.06,love it.. good excercise before i go to work..,ahmir Cruz,20/02/16,5,OTHER,OTHER,OTHER,,,,,
578945a2819cb706b00a7324,2048,2.06,Keeps crashing Since I upgraded my android this game keeps crashing.,Astrid Elkesdottir,26/02/16,1,INFORMATION_GIVING,RESSOURCES,ANDROID VERSION,ERROR,,y,,
578945a2819cb706b00a7323,2048,2.06,Addictive I first became a fan of this game when i got an app that u had to earn coins to unlock diffrent colored lights. How u got coins was to play games and it just happened tbat one of the mini games was this kind of game!!!,Holly Youngstrom,22/04/16,5,INFORMATION_SEEKING,OTHER,OTHER,,,,,
578945a2819cb706b00a7322,2048,2.06,Ad free port of the original open source game.,Mike McLean,01/05/16,5,OTHER,OTHER,LICENSING,,,,,
578945a2819cb706b00a7321,2048,2.06,Lag city,Samantha Payge,18/05/16,2,OTHER,RESSOURCES,PERFORMANCE,,,y,,
578945a0819cb706b00a7320,2048,2.06,Good idea. +1 for Open Source. Edit: Cannot stand blurriness anymore.,Eto Demerzel,20/05/16,2,INFORMATION_GIVING,USAGE,ERROR,,,y,,
578945a0819cb706b00a731f,2048,2.06,Undo feature slows down app,Morten Nilsen,29/05/16,5,OTHER,OTHER,PERFORMANCE,UI,,,,
578945a0819cb706b00a731e,2048,2.06,Super â™¡â™¡â™¡â™¡â™¡â™¡â˜†â˜†â˜†â˜…â˜…â˜…â™¥â™¥â™¥,A. V . NEMI RAAJ,21/06/16,5,OTHER,,OTHER,,,,,
578945a0819cb706b00a731d,2048,2.06,Addiction maximized My daughter (a Mathie) told me about this game. I am happy there is an undo button now. I wish this version were available for the Kindle.,Jann Schott,23/06/16,5,FEATURE_REQUEST,,UI,DEVICE,,,,
578939e0819cb7066ab3fd60,A Comic Viewer,1.4.1.4,"Fix app Its a okay app, but mi images dont load all da way through and sum times I get a error message wen im tryna look at my images, fix it and me rating will change",A Google User,20/09/12,2,PROBLEM_DISCOVERY,OTHER,ERROR,,,,,
578939e0819cb7066ab3fd5f,A Comic Viewer,1.4.1.4,Not very practical There r much better comic viewers than this 4android,A Google User,26/09/12,3,OTHER,OTHER,OTHER,,,,,
578939db819cb7066ab3fd5b,A Comic Viewer,1.4.1.4,Great comic viewing app The best comic / manga / pictorial viewing app.,A Google User,30/09/12,5,OTHER,OTHER,OTHER,,,,,
578939db819cb7066ab3fd5c,A Comic Viewer,1.4.1.4,May have gotten higher stars if.. Unfortunately it was stuck on one screen without the ability to check for comic or start reading...perhaps this is due to having the Samsung illusion idk..,A Google User,30/09/12,2,OTHER,COMPATIBILITY,DEVICE,UI,ERROR,y,,
578939db819cb7066ab3fd5d,A Comic Viewer,1.4.1.4,"Simple but Usefull I like apps like this, simple and usefull.",A Google User,30/09/12,5,OTHER,OTHER,APP USABILITY,,,,,
578939e0819cb7066ab3fd5e,A Comic Viewer,1.4.1.4,Best comic scan app in the market! Worked good on my G1& Droid. Works great on my HTC Thunderbolt.CBZ's & Folders are the best way to view. CBR's sometimes glitch. I convert to CBZ/ZIP mostly.,A Google User,30/09/12,5,OTHER,COMPATIBILITY,DEVICE,ERROR,,y,,
578939d8819cb7066ab3fd59,A Comic Viewer,1.4.1.4,Best Offline Reader I've tried many comic readers to read the comics saved to my sd card and this is the best by far.,A Google User,01/10/12,5,OTHER,COMPATIBILITY,HARDWARE,,,y,,
578939d8819cb7066ab3fd5a,A Comic Viewer,1.4.1.4,Good fer me!,A Google User,01/10/12,5,OTHER,OTHER,OTHER,,,,,
578939d8819cb7066ab3fd58,A Comic Viewer,1.4.1.4,"Pretty Close to Perfect. This app is way better than any comic book reader I've ever used. It's small, it operates fast, and the interface is incredibly clean and simple. Literally my only complaint is the ""Oops, Sorry couldn't read"" error, which I'm not entirely sure is because of the app. Fantastic application, I recommend to anyone who takes their comics on the go.",A Google User,05/10/12,4,OTHER,OTHER,PERFORMANCE,UI,ERROR,,,
578939d4819cb7066ab3fd57,A Comic Viewer,1.4.1.4,5 out of 5 Awesome,A Google User,06/10/12,5,OTHER,OTHER,OTHER,,,,,
578939d1819cb7066ab3fd54,A Comic Viewer,1.4.1.4,"Great Except constant file errors, others don't do this.",A Google User,08/10/12,1,PROBLEM_DISCOVERY,OTHER,ERROR,,,,,
578939d4819cb7066ab3fd55,A Comic Viewer,1.4.1.4,Unable to load Has a lot of problems loading comics do to a memory issue.,A Google User,08/10/12,1,OTHER,RESSOURCES,MEMORY,ERROR,,Y,,
578939d4819cb7066ab3fd56,A Comic Viewer,1.4.1.4,"Good reader... This app can open manga through zip, it's very useful....",A Google User,08/10/12,5,OTHER,USAGE,OTHER,,,Y,,
578939d1819cb7066ab3fd53,A Comic Viewer,1.4.1.4,Same problem This is the best comic reader by far i ve used. But the oops error is annoying. The app works when it wants to work and thats not a good thing:/.,A Google User,09/10/12,2,OTHER,OTHER,ERROR,,,,,
578939d1819cb7066ab3fd52,A Comic Viewer,1.4.1.4,"oops! used to love this app, now every comic i read comes up with oops! and something about being ou of memory. happens on both my phone and my tablet, both running different roms.",A Google User,10/10/12,2,OTHER,RESSOURCES,MEMORY,ERROR,DEVICE,Y,,
578939ce819cb7066ab3fd51,A Comic Viewer,1.4.1.4,Hmmm...,A Google User,12/10/12,1,OTHER,OTHER,OTHER,,,,,
578939cb819cb7066ab3fd4e,A Comic Viewer,1.4.1.4,Ooopps...all the time,A Google User,13/10/12,1,OTHER,OTHER,OTHER,,,,,
578939ce819cb7066ab3fd4f,A Comic Viewer,1.4.1.4,Good but could use fixing After a while I get a lot of errors saying the app is out of memory which fix themselves erratically and unpredictably so I can never read many files at one go. Other than that I enjoy the app's clean interface and ease of use.,A Google User,13/10/12,4,OTHER,RESSOURCES,MEMORY,ERROR,APP USABILITY,Y,,
578939ce819cb7066ab3fd50,A Comic Viewer,1.4.1.4,. I dont hav it yet but does it hav moviestarplanet,A Google User,13/10/12,1,OTHER,OTHER,OTHER,,,,,
578939cb819cb7066ab3fd4d,A Comic Viewer,1.4.1.4,"No preloading Takes time to load every image when reading in sd card, recommend Perfect Viewer by RookieStudio over this app",A Google User,16/10/12,2,OTHER,COMPATIBILITY,HARDWARE,PERFORMANCE,,Y,,
578939cb819cb7066ab3fd4c,A Comic Viewer,1.4.1.4,Ooops errors caused me to delete this app Fix it,A Google User,19/10/12,1,INFORMATION_GIVING,,ERROR,,,,,
578939cb819cb7066ab3fd4b,A Comic Viewer,1.4.1.4,Not bad but the swipe need improvement.,A Google User,20/10/12,3,INFORMATION_GIVING,USAGE,UI,,,,,
578939c8819cb7066ab3fd4a,A Comic Viewer,1.4.1.4,Excellent Has no trouble with anything. I had some trouble figuring out how the controls work but only because i didnt really read the description. This is on a galaxy note 10.1,A Google User,22/10/12,5,OTHER,OTHER,UI,DEVICE,APP USABILITY,,,
578939b9819cb7066ab3fd48,A Comic Viewer,1.4.1.4,"Couldn't make it through one comic. The UI is pretty nice, I guess. Problem is, it couldn't get me through a single comic - the same ""Oops"" error that everyone else seems to be getting. Perfect Viewer has been working out well enough. It's certainly not ""Perfect"", but I can actually read my comics, so it's close enough for now.",A Google User,23/10/12,2,OTHER,,UI,ERROR,,,,
578939b9819cb7066ab3fd49,A Comic Viewer,1.4.1.4,"Refuses to display image It says I'm low on memory when reading cbr files and therefore refuses to display more pages. Although it recommends to unpack the file, I still think, that the app should be written better so this wouldn't happen.",A Google User,23/10/12,1,FEATURE_REQUEST,,MEMORY,ERROR,,,,
578939b5819cb7066ab3fd47,A Comic Viewer,1.4.1.4,"Nice, but has some problems. Works fairly well. Most comic book archives open and preloading makes sure you can go through them quickly. Has a good amount of options to tweak your experience. One point deduction because it has some bugs and improvement points that have been around forever: I get errors on some archives, and I can never see the full error because it's always cut off (""Can not open archive. This generally happens because ..."" Because what??). The main menu always shows the logo in big, and then the last two archives opened. There's so much more you can do with this space. When you zoom, it seems to remember that zoom level for every *other* page, rather than every page.",A Google User,24/10/12,4,OTHER,,PERFORMANCE,UI,APP USABILITY,,ERROR,
578939b1819cb7066ab3fd46,A Comic Viewer,1.4.1.4,"Fast, light, and does what needs to be done! Great app. It's really fast, takes up only 673k of space and remembers which page you were at when you close the app. I appreciate the ability to customize controls...you can tailor it to your reading style.I This is the first and only app review I plan on doing...nothing quite like ACV. A must for comic readers.",A Google User,26/10/12,5,OTHER,,PERFORMANCE,UI,MEMORY,,,
578939b1819cb7066ab3fd45,A Comic Viewer,1.4.1.4,No longer that fast,A Google User,28/10/12,3,OTHER,,PERFORMANCE,,,,,
